anio,timestre,clave,salario,inpc_general,mexindpro
2007,3,6,193.7900775,85.53077,115.7224699
2007,4,6,196.0223176,87.14345,115.3218362
2008,1,6,198.4629502,87.76528,116.4028017
2008,2,6,202.2636826,88.53782,115.8726575
2008,3,6,206.3310206,89.50588,113.2364385
2008,4,6,210.3088784,91.53047,109.1938814
2009,1,6,213.0522288,92.98516,104.4461705
2009,2,6,214.8149377,93.41384,104.0040417
2009,3,6,215.5691313,93.88938,106.1386502
2009,4,6,216.1739777,95.31899,109.3413194
2010,1,6,217.0729326,97.44912,112.0859596
2010,2,6,217.8261269,97.37771,112.5118004
2010,3,6,220.2599431,97.90308,113.4257218
2010,4,6,222.2520991,99.25042,114.9106933
2011,1,6,224.3402786,100.74009,115.9944754
2011,2,6,226.6715859,100.74051,116.4620657
2011,3,6,227.6298083,101.42499,117.9813496
2011,4,6,229.3896688,102.80004,119.6225905
2012,1,6,231.8652393,104.8164,120.4963085
2012,2,6,233.7254516,104.94491,122.0109257
2012,3,6,236.0044949,106.39869,122.0605247
2012,4,6,238.5249081,107.92319,119.6407043
2001,1,9,195.5925809,64.14555,99.65866832
2001,2,9,201.9615753,65.02113,99.63357944
2001,3,9,205.1437416,65.69273,100.053331
2001,4,9,210.9178064,66.63996,99.61450967
2002,1,9,214.1002968,67.41398,98.55714561
2002,2,9,216.0252781,68.39629,99.32485004
2002,3,9,219.6406935,69.2946,99.45769375
2002,4,9,223.2902346,70.11991,99.49988738
2003,1,9,225.4237307,71.09564,100.7079991
2003,2,9,229.6757279,71.86718,99.84226644
2003,3,9,233.3099668,72.15147,98.64165685
2003,4,9,237.1029789,73.04209,101.4634522
2004,1,9,240.8161492,74.38147,104.3735571
2004,2,9,244.3245206,74.9469,102.9221253
2004,3,9,248.9401967,75.67783,104.2730928
2004,4,9,251.0776357,76.84484,104.9995635
2005,1,9,253.9616348,77.44844,105.0543786
2005,2,9,256.568648,78.12042,105.7389947
2005,3,9,259.6909845,78.66961,107.8074637
2005,4,9,263.7260447,79.20639,110.9397676
2006,1,9,267.6390732,80.10326,112.1336545
2006,2,9,270.7329555,80.50641,114.140797
2006,3,9,273.4846757,81.43913,113.2200485
2006,4,9,277.1336198,82.63548,112.9463419
2007,1,9,281.8784742,83.4929,116.283485
2007,2,9,284.4056034,83.87464,115.4359435
2007,3,9,286.5353408,84.75839,115.7224699
2007,4,9,290.6521151,85.66098,115.3218362
2008,1,9,294.0536427,86.89879,116.4028017
2008,2,9,297.8996799,88.16743,115.8726575
2008,3,9,302.3872741,89.54883,113.2364385
2008,4,9,305.6757059,91.23959,109.1938814
2009,1,9,308.2821918,92.31532,104.4461705
2009,2,9,311.2396373,93.44836,104.0040417
2009,3,9,313.3617564,94.08876,106.1386502
2009,4,9,312.6310955,94.74377,109.3413194
2010,1,9,315.5857333,96.80104,112.0859596
2010,2,9,317.9860753,97.44847,112.5118004
2010,3,9,321.4180274,97.97618,113.4257218
2010,4,9,325.4172381,99.18611,114.9106933
2011,1,9,329.326536,100.42242,115.9944754
2011,2,9,333.2110644,101.05173,116.4620657
2011,3,9,337.699881,101.71618,117.9813496
2011,4,9,341.6557789,102.83831,119.6225905
2012,1,9,346.661067,104.41001,120.4963085
2012,2,9,349.3279018,104.89676,122.0109257
2012,3,9,351.2541985,106.30153,122.0605247
2012,4,9,354.2878349,107.10596,119.6407043
2001,1,10,91.57453711,63.9941,99.65866832
2001,2,10,96.378497,65.16295,99.63357944
2001,3,10,98.7617822,65.49646,100.053331
2001,4,10,102.3149704,66.32373,99.61450967
2002,1,10,103.55848,67.29379,98.55714561
2002,2,10,104.782841,68.23101,99.32485004
2002,3,10,106.6783826,68.90271,99.45769375
2002,4,10,109.5448944,69.81554,99.49988738
2003,1,10,110.2851341,70.59115,100.7079991
2003,2,10,112.827504,71.42321,99.84226644
2003,3,10,116.283859,71.66466,98.64165685
2003,4,10,119.176012,72.25016,101.4634522
2004,1,10,122.2624142,73.17182,104.3735571
2004,2,10,125.2825875,74.29701,102.9221253
2004,3,10,126.9594162,75.17197,104.2730928
2004,4,10,129.2479517,76.52319,104.9995635
2005,1,10,131.097161,77.09875,105.0543786
2005,2,10,131.9131343,78.37909,105.7389947
2005,3,10,134.9515353,78.63894,107.8074637
2005,4,10,136.7237708,79.12939,110.9397676
2006,1,10,138.4117053,79.85539,112.1336545
2006,2,10,139.5845162,80.46695,114.140797
2006,3,10,141.6349615,81.2377,113.2200485
2006,4,10,143.6215654,82.28087,112.9463419
2007,1,10,146.5211078,83.35644,116.283485
2007,2,10,149.0532784,83.90983,115.4359435
2007,3,10,151.1704858,85.0781,115.7224699
2007,4,10,153.9388701,86.40855,115.3218362
2008,1,10,155.9076754,87.38076,116.4028017
2008,2,10,158.7573971,88.64743,115.8726575
2008,3,10,161.3652917,90.3435,113.2364385
2008,4,10,164.6749129,91.96224,109.1938814
2009,1,10,167.1454974,92.92015,104.4461705
2009,2,10,167.3213562,94.10377,104.0040417
2009,3,10,168.3970145,95.16689,106.1386502
2009,4,10,169.3842209,95.7723,109.3413194
2010,1,10,171.8963568,97.33268,112.0859596
2010,2,10,174.3819539,98.04957,112.5118004
2010,3,10,176.1141131,98.57828,113.4257218
2010,4,10,177.817606,99.54068,114.9106933
2011,1,10,179.8871197,101.02758,115.9944754
2011,2,10,182.5756555,101.76296,116.4620657
2011,3,10,184.9789769,102.45797,117.9813496
2011,4,10,186.9213356,103.65716,119.6225905
2012,1,10,189.303263,105.63001,120.4963085
2012,2,10,191.8165835,106.33076,122.0109257
2012,3,10,196.1804976,107.86131,122.0605247
2012,4,10,197.6562288,108.59734,119.6407043
2001,1,11,105.8206984,66.46889,99.65866832
2001,2,11,110.6843161,67.48592,99.63357944
2001,3,11,113.3850723,67.68807,100.053331
2001,4,11,117.802594,68.34655,99.61450967
2002,1,11,120.9755324,68.82513,98.55714561
2002,2,11,122.1646634,69.98237,99.32485004
2002,3,11,124.4842502,70.78633,99.45769375
2002,4,11,127.6647128,71.69526,99.49988738
2003,1,11,131.1327032,72.2697,100.7079991
2003,2,11,135.2825749,72.93805,99.84226644
2003,3,11,139.1225588,73.42634,98.64165685
2003,4,11,141.6608199,74.21606,101.4634522
2004,1,11,143.1413911,75.32345,104.3735571
2004,2,11,146.0449948,76.25129,102.9221253
2004,3,11,148.6296723,76.9134,104.2730928
2004,4,11,151.0518404,78.06007,104.9995635
2005,1,11,153.9366048,78.47569,105.0543786
2005,2,11,155.1096301,79.30061,105.7389947
2005,3,11,157.6388785,79.92672,107.8074637
2005,4,11,160.8425564,80.50625,110.9397676
2006,1,11,162.8278067,81.03433,112.1336545
2006,2,11,165.8314319,81.16548,114.140797
2006,3,11,167.3932106,82.12852,113.2200485
2006,4,11,169.8289549,83.34012,112.9463419
2007,1,11,172.1563617,83.98074,116.283485
2007,2,11,173.7897481,84.52247,115.4359435
2007,3,11,175.5147282,85.56916,115.7224699
2007,4,11,177.4714926,86.4021,115.3218362
2008,1,11,179.7404584,87.02444,116.4028017
2008,2,11,181.9852385,88.19379,115.8726575
2008,3,11,184.7319864,89.78945,113.2364385
2008,4,11,186.4287731,91.36965,109.1938814
2009,1,11,188.4669966,91.93621,104.4461705
2009,2,11,190.5266622,93.10875,104.0040417
2009,3,11,191.1329817,94.00417,106.1386502
2009,4,11,193.4527945,94.69338,109.3413194
2010,1,11,195.6914343,96.57235,112.0859596
2010,2,11,196.7609217,97.11368,112.5118004
2010,3,11,198.393426,97.80432,113.4257218
2010,4,11,200.2022549,99.27413,114.9106933
2011,1,11,201.7009271,100.57514,115.9944754
2011,2,11,204.0869732,100.97691,116.4620657
2011,3,11,205.9303603,101.74524,117.9813496
2011,4,11,207.5920863,102.73181,119.6225905
2012,1,11,210.083958,104.61641,120.4963085
2012,2,11,212.915371,105.01281,122.0109257
2012,3,11,216.582934,106.36148,122.0605247
